"idBank";"Dernière mise à jour";"Zone géographique";"Correction";"Regroupement de produits";"Périodicité";"Série arrêtée";"Indicateur";"Nature";"Puissance";"Unité"
"010596132";"12/01/2024 08:45";"France métropolitaine";"Non corrigé";"Supercarburant sans plomb, indice d'octane 95-E10";"Mensuelle";"non";"Indice des prix à la consommation (IPC)";"Prix moyen";"0";"euros"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
